Character,Binary Code,Bit Length
e,00000,5
t,00001,5
a,00010,5
o,00011,5
i,00100,5
n,00101,5
s,00110,5
h,00111,5
r,01000,5
d,01001,5
l,01010,5
u,01011,5
 ,01100,5
.,01101,5
",",01110,5
"
",01111,5
b,10000000,8
c,10000001,8
f,10000010,8
g,10000011,8
j,10000100,8
k,10000101,8
m,10000110,8
p,10000111,8
q,10001000,8
v,10001001,8
w,10001010,8
x,10001011,8
y,10001100,8
z,10001101,8
A,10001110,8
B,10001111,8
C,10010000,8
D,10010001,8
E,10010010,8
F,10010011,8
G,10010100,8
H,10010101,8
I,10010110,8
J,10010111,8
K,10011000,8
L,10011001,8
M,10011010,8
N,10011011,8
O,10011100,8
P,10011101,8
Q,10011110,8
R,10011111,8
S,10100000,8
T,10100001,8
U,10100010,8
V,10100011,8
W,10100100,8
X,10100101,8
Y,10100110,8
Z,10100111,8
-,10101000,8
!,10101001,8
',10101010,8
"""",10101011,8
:,10101100,8
;,10101101,8
?,10101110,8
(,10101111,8
),10110000,8
0,11000000000,11
1,11000000001,11
2,11000000010,11
3,11000000011,11
4,11000000100,11
5,11000000101,11
6,11000000110,11
7,11000000111,11
8,11000001000,11
9,11000001001,11
/,11000001010,11
@,11000001011,11
&,11000001100,11
Â©,11000001101,11
$,11000001110,11
%,11000001111,11
*,11000010000,11
+,11000010001,11
=,11000010010,11
[,11000010011,11
],11000010100,11
{,11000010101,11
},11000010110,11
<,11000010111,11
>,11000011000,11
|,11000011001,11
\,11000011010,11
_,11000011011,11
~,11000011100,11
`,11000011101,11
^,11000011110,11
#,11000011111,11
',11000100000,11
", ""11000100001"", ""11""],  # U+201C
    [",11000100010,11
